Distance,Fraction_Pair,Left_Fraction,Right_Fraction,Compatibility,Unit,Benchmark,Relation_To_Half
0.17,1/2_1/3,'1/2,'1/3,Misleading,Both_Unit,Both_Benchmark,Both_Half
0.25,1/2_1/4,'1/2,'1/4,Misleading,Both_Unit,Both_Benchmark,Both_Half
0.30,1/2_1/5,'1/2,'1/5,Misleading,Both_Unit,Includes_Benchmark,Both_Half
0.33,1/2_1/6,'1/2,'1/6,Misleading,Both_Unit,Includes_Benchmark,Both_Half
0.36,1/2_1/7,'1/2,'1/7,Misleading,Both_Unit,Includes_Benchmark,Both_Half
0.38,1/2_1/8,'1/2,'1/8,Misleading,Both_Unit,Includes_Benchmark,Both_Half
0.39,1/2_1/9,'1/2,'1/9,Misleading,Both_Unit,Includes_Benchmark,Both_Half
0.40,1/2_1/10,'1/2,'1/10,Misleading,Both_Unit,Includes_Benchmark,Both_Half
0.08,1/3_1/4,'1/3,'1/4,Misleading,Both_Unit,Both_Benchmark,Both_Below_Half
0.13,1/3_1/5,'1/3,'1/5,Misleading,Both_Unit,Includes_Benchmark,Both_Below_Half
0.17,1/3_1/6,'1/3,'1/6,Misleading,Both_Unit,Includes_Benchmark,Both_Below_Half
0.19,1/3_1/7,'1/3,'1/7,Misleading,Both_Unit,Includes_Benchmark,Both_Below_Half
0.21,1/3_1/8,'1/3,'1/8,Misleading,Both_Unit,Includes_Benchmark,Both_Below_Half
0.22,1/3_1/9,'1/3,'1/9,Misleading,Both_Unit,Includes_Benchmark,Both_Below_Half
0.23,1/3_1/10,'1/3,'1/10,Misleading,Both_Unit,Includes_Benchmark,Both_Below_Half
0.05,1/4_1/5,'1/4,'1/5,Misleading,Both_Unit,Includes_Benchmark,Both_Below_Half
0.08,1/4_1/6,'1/4,'1/6,Misleading,Both_Unit,Includes_Benchmark,Both_Below_Half
0.11,1/4_1/7,'1/4,'1/7,Misleading,Both_Unit,Includes_Benchmark,Both_Below_Half
0.12,1/4_1/8,'1/4,'1/8,Misleading,Both_Unit,Includes_Benchmark,Both_Below_Half
0.14,1/4_1/9,'1/4,'1/9,Misleading,Both_Unit,Includes_Benchmark,Both_Below_Half
0.15,1/4_1/10,'1/4,'1/10,Misleading,Both_Unit,Includes_Benchmark,Both_Below_Half
0.03,1/5_1/6,'1/5,'1/6,Misleading,Both_Unit,Excludes_Benchmark,Both_Below_Half
0.06,1/5_1/7,'1/5,'1/7,Misleading,Both_Unit,Excludes_Benchmark,Both_Below_Half
0.08,1/5_1/8,'1/5,'1/8,Misleading,Both_Unit,Excludes_Benchmark,Both_Below_Half
0.09,1/5_1/9,'1/5,'1/9,Misleading,Both_Unit,Excludes_Benchmark,Both_Below_Half
0.10,1/5_1/10,'1/5,'1/10,Misleading,Both_Unit,Excludes_Benchmark,Both_Below_Half
0.02,1/6_1/7,'1/6,'1/7,Misleading,Both_Unit,Excludes_Benchmark,Both_Below_Half
0.04,1/6_1/8,'1/6,'1/8,Misleading,Both_Unit,Excludes_Benchmark,Both_Below_Half
0.06,1/6_1/9,'1/6,'1/9,Misleading,Both_Unit,Excludes_Benchmark,Both_Below_Half
0.07,1/6_1/10,'1/6,'1/10,Misleading,Both_Unit,Excludes_Benchmark,Both_Below_Half
0.02,1/7_1/8,'1/7,'1/8,Misleading,Both_Unit,Excludes_Benchmark,Both_Below_Half
0.03,1/7_1/9,'1/7,'1/9,Misleading,Both_Unit,Excludes_Benchmark,Both_Below_Half
0.04,1/7_1/10,'1/7,'1/10,Misleading,Both_Unit,Excludes_Benchmark,Both_Below_Half
0.01,1/8_1/9,'1/8,'1/9,Misleading,Both_Unit,Excludes_Benchmark,Both_Below_Half
0.02,1/8_1/10,'1/8,'1/10,Misleading,Both_Unit,Excludes_Benchmark,Both_Below_Half
0.01,1/9_1/10,'1/9,'1/10,Misleading,Both_Unit,Excludes_Benchmark,Both_Below_Half
