Fraction_1,Fraction_2,pair,Unit,Benchmark,Compatibility,Relation_To_Half
'1/9,'3/7,1/9_3/7,Includes_Unit,Excludes_Benchmark,Compatible,Both_Below_Half
'1/8,'3/7,1/8_3/7,Includes_Unit,Excludes_Benchmark,Compatible,Both_Below_Half
'1/8,'4/9,1/8_4/9,Includes_Unit,Excludes_Benchmark,Compatible,Both_Below_Half
'1/7,'3/8,1/7_3/8,Includes_Unit,Excludes_Benchmark,Compatible,Both_Below_Half
'1/6,'2/7,1/6_2/7,Includes_Unit,Excludes_Benchmark,Compatible,Both_Below_Half
'1/5,'3/8,1/5_3/8,Includes_Unit,Excludes_Benchmark,Compatible,Both_Below_Half
'1/5,'7/8,1/5_7/8,Includes_Unit,Excludes_Benchmark,Compatible,Crosses
'2/9,'4/7,2/9_4/7,Excludes_Unit,Excludes_Benchmark,Compatible,Crosses
'1/4,'2/7,1/4_2/7,Includes_Unit,Includes_Benchmark,Compatible,Both_Below_Half
'1/4,'5/7,1/4_5/7,Includes_Unit,Includes_Benchmark,Compatible,Crosses
'2/7,'5/8,2/7_5/8,Excludes_Unit,Excludes_Benchmark,Compatible,Crosses
'1/3,'2/7,1/3_2/7,Includes_Unit,Includes_Benchmark,Misleading,Both_Below_Half
'1/3,'3/4,1/3_3/4,Includes_Unit,Both_Benchmark,Compatible,Crosses
'3/8,'2/7,3/8_2/7,Excludes_Unit,Excludes_Benchmark,Compatible,Both_Below_Half
'2/5,'5/9,2/5_5/9,Excludes_Unit,Excludes_Benchmark,Compatible,Crosses
'3/7,'2/9,3/7_2/9,Excludes_Unit,Excludes_Benchmark,Compatible,Both_Below_Half
'3/7,'5/9,3/7_5/9,Excludes_Unit,Excludes_Benchmark,Compatible,Crosses
'4/9,'1/7,4/9_1/7,Includes_Unit,Excludes_Benchmark,Compatible,Both_Below_Half
'4/9,'2/3,4/9_2/3,Excludes_Unit,Includes_Benchmark,Misleading,Crosses
'1/2,'2/5,1/2_2/5,Includes_Unit,Includes_Benchmark,Misleading,Both_Half
'1/2,'2/3,1/2_2/3,Includes_Unit,Both_Benchmark,Compatible,Crosses
'5/9,'6/7,5/9_6/7,Excludes_Unit,Excludes_Benchmark,Compatible,Both_Above_Half
'4/7,'1/4,4/7_1/4,Includes_Unit,Includes_Benchmark,Compatible,Crosses
'4/7,'3/4,4/7_3/4,Excludes_Unit,Includes_Benchmark,Misleading,Both_Above_Half
'3/5,'2/9,3/5_2/9,Excludes_Unit,Excludes_Benchmark,Compatible,Crosses
'3/5,'5/8,3/5_5/8,Excludes_Unit,Excludes_Benchmark,Compatible,Both_Above_Half
'5/8,'1/9,5/8_1/9,Includes_Unit,Excludes_Benchmark,Compatible,Crosses
'2/3,'1/8,2/3_1/8,Includes_Unit,Includes_Benchmark,Compatible,Crosses
'2/3,'4/7,2/3_4/7,Excludes_Unit,Includes_Benchmark,Misleading,Both_Above_Half
'5/7,'4/9,5/7_4/9,Excludes_Unit,Excludes_Benchmark,Compatible,Crosses
'5/7,'7/8,5/7_7/8,Excludes_Unit,Excludes_Benchmark,Compatible,Both_Above_Half
'7/9,'1/3,7/9_1/3,Includes_Unit,Includes_Benchmark,Compatible,Crosses
'4/5,'1/9,4/5_1/9,Includes_Unit,Excludes_Benchmark,Compatible,Crosses
'4/5,'7/8,4/5_7/8,Excludes_Unit,Excludes_Benchmark,Compatible,Both_Above_Half
'5/6,'1/5,5/6_1/5,Includes_Unit,Excludes_Benchmark,Compatible,Crosses
'5/6,'7/9,5/6_7/9,Excludes_Unit,Excludes_Benchmark,Misleading,Both_Above_Half
'6/7,'2/5,6/7_2/5,Excludes_Unit,Excludes_Benchmark,Compatible,Crosses
'6/7,'3/5,6/7_3/5,Excludes_Unit,Excludes_Benchmark,Compatible,Both_Above_Half
'8/9,'2/5,8/9_2/5,Excludes_Unit,Excludes_Benchmark,Compatible,Crosses
'8/9,'3/4,8/9_3/4,Excludes_Unit,Includes_Benchmark,Compatible,Both_Above_Half
